Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Bahrain,1472237,17-10-2021,276118,18.75499665
Serbia,6871547,24-12-2021,1288395,18.74970804
Bahrain,1472237,16-10-2021,276030,18.74901935
Mongolia,3398373,14-11-2021,637094,18.74702983
Bahrain,1472237,15-10-2021,275975,18.74528354
Bahrain,1472237,14-10-2021,275912,18.74100434
Bahrain,1472237,13-10-2021,275862,18.73760814
Andorra,79843,17-08-2021,14960,18.73677091
Lithuania,2750058,25-12-2021,515252,18.7360412
Bahrain,1472237,12-10-2021,275803,18.73360064
Serbia,6871547,23-12-2021,1287202,18.73234659
Andorra,79843,16-08-2021,14954,18.72925617
Bahrain,1472237,11-10-2021,275734,18.72891389
San Marino,33690,07-12-2021,6308,18.72365687
San Marino,33690,08-12-2021,6308,18.72365687
Bahrain,1472237,10-10-2021,275654,18.72347998
Bahrain,1472237,09-10-2021,275597,18.71960832
Bahrain,1472237,08-10-2021,275538,18.71560082
Serbia,6871547,22-12-2021,1286025,18.71521799
Gibraltar,32677,05-11-2021,6115,18.71346819
Bahrain,1472237,07-10-2021,275458,18.71016691
Bahrain,1472237,06-10-2021,275394,18.70581978
Seychelles,107135,31-08-2021,20038,18.70350492
Bahrain,1472237,05-10-2021,275349,18.70276321
Bahrain,1472237,04-10-2021,275279,18.69800854
Serbia,6871547,21-12-2021,1284757,18.69676508
Bahrain,1472237,03-10-2021,275237,18.69515574
Andorra,79843,13-08-2021,14924,18.69168243
Andorra,79843,14-08-2021,14924,18.69168243
Andorra,79843,15-08-2021,14924,18.69168243
Bahrain,1472237,02-10-2021,275175,18.69094446
Bahrain,1472237,01-10-2021,275130,18.68788789
Lithuania,2750058,24-12-2021,513820,18.68396957
Bahrain,1472237,30-09-2021,275057,18.68292945
Bahrain,1472237,29-09-2021,274981,18.67776723
Mongolia,3398373,13-11-2021,634637,18.67473053
Bahrain,1472237,28-09-2021,274925,18.6739635
Andorra,79843,12-08-2021,14908,18.6716431
Bahrain,1472237,27-09-2021,274877,18.67070315
Montenegro,627082,03-09-2021,117080,18.67060448
Georgia,3744385,26-10-2021,698944,18.66645657
Bahrain,1472237,26-09-2021,274814,18.66642395
Serbia,6871547,19-12-2021,1282461,18.66335194
Serbia,6871547,20-12-2021,1282461,18.66335194
Bahrain,1472237,25-09-2021,274745,18.66173721
Seychelles,107135,30-08-2021,19992,18.66056844
Bahrain,1472237,24-09-2021,274676,18.65705046
Czechia,10493990,19-11-2021,1957816,18.65654532
Bahrain,1472237,23-09-2021,274614,18.65283918
Serbia,6871547,18-12-2021,1281659,18.65168062
Andorra,79843,11-08-2021,14891,18.65035131
Bahrain,1472237,22-09-2021,274524,18.64672604
Slovenia,2119843,19-11-2021,395203,18.64303158
Bahrain,1472237,21-09-2021,274452,18.64183552
Gibraltar,32677,04-11-2021,6091,18.64002203
Bahrain,1472237,20-09-2021,274383,18.63714877
Serbia,6871547,17-12-2021,1280644,18.63690956
Slovakia,5643455,19-11-2021,1051745,18.63654446
Bahrain,1472237,19-09-2021,274264,18.62906584
Andorra,79843,10-08-2021,14873,18.62780707
Lithuania,2750058,23-12-2021,512178,18.62426174
Bahrain,1472237,18-09-2021,274179,18.62329231
Serbia,6871547,16-12-2021,1279445,18.6194608
Cyprus,896007,31-12-2021,166827,18.61893936
Bahrain,1472237,17-09-2021,274107,18.61840179
Bahrain,1472237,16-09-2021,274041,18.61391882
Bahrain,1472237,15-09-2021,273977,18.60957169
Bahrain,1472237,14-09-2021,273916,18.60542834
United Kingdom,67508936,29-12-2021,12559926,18.60483477
Mongolia,3398373,12-11-2021,632160,18.60184271
Serbia,6871547,15-12-2021,1278120,18.60017839
Bahrain,1472237,13-09-2021,273835,18.59992651
Bahrain,1472237,12-09-2021,273743,18.59367751
Bahrain,1472237,11-09-2021,273622,18.58545873
Seychelles,107135,28-08-2021,19910,18.5840295
Seychelles,107135,29-08-2021,19910,18.5840295
Montenegro,627082,02-09-2021,116533,18.58337506
Andorra,79843,06-08-2021,14836,18.58146613
Andorra,79843,07-08-2021,14836,18.58146613
Andorra,79843,08-08-2021,14836,18.58146613
Andorra,79843,09-08-2021,14836,18.58146613
Serbia,6871547,14-12-2021,1276761,18.58040118
Bahrain,1472237,10-09-2021,273542,18.58002482
Bahrain,1472237,09-09-2021,273454,18.57404752
Bahrain,1472237,08-09-2021,273366,18.56807022
Lithuania,2750058,22-12-2021,510464,18.56193578
Gibraltar,32677,03-11-2021,6065,18.56045537
Bahrain,1472237,07-09-2021,273252,18.5603269
Serbia,6871547,13-12-2021,1275214,18.55788806
Bahrain,1472237,06-09-2021,273113,18.55088549
Andorra,79843,05-08-2021,14809,18.54764976
Bahrain,1472237,05-09-2021,273008,18.54375349
Serbia,6871547,12-12-2021,1274047,18.54090498
Seychelles,107135,27-08-2021,19863,18.54015961
Georgia,3744385,25-10-2021,694182,18.53927948
Bahrain,1472237,04-09-2021,272916,18.53750449
Andorra,79843,04-08-2021,14797,18.53262027
Bahrain,1472237,03-09-2021,272807,18.53010079
Czechia,10493990,18-11-2021,1944400,18.52870071
Serbia,6871547,11-12-2021,1273103,18.52716717
Bahrain,1472237,02-09-2021,272709,18.52344426
Aruba,106459,30-12-2021,19719,18.52262373
Bahrain,1472237,01-09-2021,272635,18.51841789
