Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Georgia,3744385,2021-11-17,795847,21.25441161
San Marino,33690,2021-12-21,7160,21.25259721
San Marino,33690,2021-12-20,7160,21.25259721
Gibraltar,32677,2021-11-22,6944,21.25042079
Czechia,10493990,2021-12-04,2229715,21.24754264
Montenegro,627082,2021-10-04,133005,21.21014477
Seychelles,107135,2021-11-15,22722,21.20875531
Seychelles,107135,2021-11-16,22722,21.20875531
Slovenia,2119843,2021-12-20,449149,21.18784268
Gibraltar,32677,2021-11-21,6920,21.17697463
Montenegro,627082,2021-10-03,132696,21.16086891
Slovenia,2119843,2021-12-19,448562,21.16015195
Slovakia,5643455,2021-12-02,1192439,21.12959171
Georgia,3744385,2021-11-16,791115,21.12803571
Seychelles,107135,2021-11-13,22633,21.12568255
Seychelles,107135,2021-11-14,22633,21.12568255
Seychelles,107135,2021-11-12,22633,21.12568255
Slovenia,2119843,2021-12-18,447794,21.12392286
Montenegro,627082,2021-10-02,132360,21.1072874
Gibraltar,32677,2021-11-20,6891,21.08822719
Czechia,10493990,2021-12-03,2211972,21.07846491
Seychelles,107135,2021-11-11,22574,21.07061184
Slovenia,2119843,2021-12-17,446506,21.06316364
Montenegro,627082,2021-10-01,131946,21.04126733
Seychelles,107135,2021-11-10,22526,21.02580856
Slovenia,2119843,2021-12-16,445228,21.00287616
Georgia,3744385,2021-11-15,785911,20.98905428
Montenegro,627082,2021-09-30,131499,20.96998479
Seychelles,107135,2021-11-09,22457,20.96140384
Slovakia,5643455,2021-12-01,1182562,20.95457481
Seychelles,107135,2021-11-08,22441,20.94646941
Gibraltar,32677,2021-11-19,6843,20.94133488
Georgia,3744385,2021-11-14,784091,20.94044816
Slovenia,2119843,2021-12-15,443873,20.93895633
Andorra,79843,2021-11-26,16712,20.93107724
Andorra,79843,2021-11-27,16712,20.93107724
Andorra,79843,2021-11-28,16712,20.93107724
Andorra,79843,2021-11-29,16712,20.93107724
Czechia,10493990,2021-12-02,2193289,20.90042967
Montenegro,627082,2021-09-29,131020,20.89359924
Seychelles,107135,2021-11-05,22381,20.8904653
Seychelles,107135,2021-11-06,22381,20.8904653
Seychelles,107135,2021-11-07,22381,20.8904653
Slovenia,2119843,2021-12-14,442347,20.86696987
Seychelles,107135,2021-11-04,22336,20.84846222
Georgia,3744385,2021-11-13,780391,20.84163354
Seychelles,107135,2021-11-03,22301,20.81579316
Montenegro,627082,2021-09-28,130500,20.81067548
San Marino,33690,2021-12-18,7007,20.79845652
San Marino,33690,2021-12-19,7007,20.79845652
San Marino,33690,2021-12-17,7007,20.79845652
