Location,date,population,total_cases,total_deaths
Albania,01-07-2021,2842318,132523,2456
Albania,02-07-2021,2842318,132526,2456
Albania,03-07-2021,2842318,132534,2456
Albania,04-07-2021,2842318,132535,2456
Albania,05-07-2021,2842318,132537,2456
Albania,06-07-2021,2842318,132544,2456
Albania,07-07-2021,2842318,132557,2456
Albania,08-07-2021,2842318,132565,2456
Albania,09-07-2021,2842318,132580,2456
Albania,10-07-2021,2842318,132587,2456
Albania,11-07-2021,2842318,132592,2456
Albania,12-07-2021,2842318,132597,2456
Albania,13-07-2021,2842318,132608,2456
Albania,14-07-2021,2842318,132616,2456
Albania,15-07-2021,2842318,132629,2456
Albania,16-07-2021,2842318,132647,2456
Albania,17-07-2021,2842318,132665,2456
Albania,18-07-2021,2842318,132686,2456
Albania,19-07-2021,2842318,132697,2456
Albania,20-07-2021,2842318,132740,2456
Albania,21-07-2021,2842318,132763,2456
Albania,22-07-2021,2842318,132797,2456
Albania,23-07-2021,2842318,132828,2456
Albania,24-07-2021,2842318,132853,2456
Albania,25-07-2021,2842318,132875,2456
Albania,26-07-2021,2842318,132891,2456
Albania,27-07-2021,2842318,132922,2456
Albania,28-07-2021,2842318,132952,2457
Albania,29-07-2021,2842318,132999,2457
Albania,30-07-2021,2842318,133036,2457
Albania,31-07-2021,2842318,133081,2457
Albania,01-08-2021,2842318,133121,2457
Albania,02-08-2021,2842318,133146,2457
Albania,03-08-2021,2842318,133211,2457
Albania,04-08-2021,2842318,133310,2457
Albania,05-08-2021,2842318,133442,2457
Albania,06-08-2021,2842318,133591,2458
Albania,07-08-2021,2842318,133730,2459
Albania,08-08-2021,2842318,133912,2459
Albania,09-08-2021,2842318,133981,2460
Albania,10-08-2021,2842318,134201,2460
Albania,11-08-2021,2842318,134487,2460
Albania,12-08-2021,2842318,134761,2460
Albania,13-08-2021,2842318,135140,2461
Albania,14-08-2021,2842318,135550,2463
Albania,15-08-2021,2842318,135947,2464
Albania,16-08-2021,2842318,136147,2466
Albania,17-08-2021,2842318,136598,2468
Albania,18-08-2021,2842318,137075,2471
Albania,19-08-2021,2842318,137597,2473
Albania,20-08-2021,2842318,138132,2475
Albania,21-08-2021,2842318,138790,2477
Albania,22-08-2021,2842318,139324,2478
Albania,23-08-2021,2842318,139721,2478
Albania,24-08-2021,2842318,140521,2480
Albania,25-08-2021,2842318,141365,2483
Albania,26-08-2021,2842318,142253,2486
Albania,27-08-2021,2842318,143174,2487
Albania,28-08-2021,2842318,144079,2490
Albania,29-08-2021,2842318,144847,2492
Albania,30-08-2021,2842318,145333,2495
Albania,31-08-2021,2842318,146387,2498
Albania,01-09-2021,2842318,147369,2501
Albania,02-09-2021,2842318,148222,2505
Albania,03-09-2021,2842318,149117,2508
